StationID,StationTitle,AddressLine,State,Country,Latitude,Longitude,ConnectionType,PowerKW,Quantity,Price,Rating
307970,Creluz Eletroposto Boa ,"8M6V+V8 Trentin, Jaboticaba - RS, Brazil",Rio Grande do Sul,Brazil,-27.68779062,-53.30676097,CCS (Type 2),40,1,50,3.66
307969,Creluz Charging Station,"R. Paranambi, 3369 - Palmeira das Missaes, RS, 98300-000, Brazil",Rio Grande do Sul,Brazil,-27.92234924,-53.31433835,CCS (Type 2),40,1,50,2.99
307967,On-Charge Charging Station,"BR-290, km 485",Rio Grande do Sul,Brazil,-30.24020827,-54.96965087,CCS (Type 2),38,1,50,0.78
307965,STB-00059 EV ,Street of the Caravels,Lisbon,Portugal,38.68561953,-9.343971235,CHAdeMO,50,1,50,0.29
307965,STB-00059 EV ,Street of the Caravels,Lisbon,Portugal,38.68561953,-9.343971235,CCS (Type 2),100,3,50,4.33
307965,STB-00059 EV ,Street of the Caravels,Lisbon,Portugal,38.68561953,-9.343971235,Type 2 (Socket Only),22,1,50,3.01
307964,CSC-00126 EV,Av. Aristides de Sousa Mendes,Lisbon,Portugal,38.70960855,-9.335603174,CCS (Type 2),150,4,51,0.1
307964,CSC-00126 EV,Av. Aristides de Sousa Mendes,Lisbon,Portugal,38.70960855,-9.335603174,CHAdeMO,62,1,50,4.85
307964,CSC-00126 EV,Av. Aristides de Sousa Mendes,Lisbon,Portugal,38.70960855,-9.335603174,Type 2 (Socket Only),22,3,50,4.16
307963,CSC-00129,"Place Torre da Aguilha, Lot 5",Lisbon,Portugal,38.71072719,-9.336475116,CHAdeMO,50,1,50,0.91
307963,CSC-00129,"Place Torre da Aguilha, Lot 5",Lisbon,Portugal,38.71072719,-9.336475116,CCS (Type 2),100,5,50,0.92
307962,AMD-00083-84,Avenida 25 de Abril 73,Lisbon,Portugal,38.7518392,-9.28397319,CCS (Type 2),120,2,50,1.52
307962,AMD-00083-84,Avenida 25 de Abril 73,Lisbon,Portugal,38.7518392,-9.28397319,CHAdeMO,60,1,50,2.62
307962,AMD-00083-84,Avenida 25 de Abril 73,Lisbon,Portugal,38.7518392,-9.28397319,Type 2 (Socket Only),22,6,50,2.16
307961,SNT-00149 Galp,ESTRADA DE MEM MARTINS S/N,Lisbon,Portugal,38.78186244,-9.349004222,CCS (Type 2),120,2,50,1.46
307960,SNT-00138,Av. Raul Solnado 23 23A ,Lisbon,Portugal,38.78042048,-9.353215371,CHAdeMO,50,1,50,3.06
307960,SNT-00138,Av. Raul Solnado 23 23A ,Lisbon,Portugal,38.78042048,-9.353215371,CCS (Type 2),100,1,50,0.7
